region,province,y20-21,y22-23,y23-24
CB,Puntarenas,15903,18718,12881
CB,Puntarenas,111238,127165,121627
CB,Puntarenas,,,
LS,Cartago,67318,56461,52921
LS,Cartago,18825,14996,12932
LS,San Jose,51551,49990,35663
LS,San Jose,49266,60566,48246
LS,San Jose,76779,85201,64084
LS,San Jose,72959,66733,59528
LS,San Jose,189705,173022,147184
LS,San Jose,268718,267863,239648
PZ,San Jose,200104,215009,206365
T,Cartago,14049,15867,10889
T,Cartago,24186,24707,15274
T,Cartago,46754,52701,35195
VC,Alajuela,80613,95743,73631
VC,Alajuela,59061,65478,42733
VC,Cartago,19062,17955,13989
VC,Heredia,13685,12113,8810
VC,Heredia,,,
VC,Heredia,6164,3433,1415
VC,Heredia,3024,4053,2772
VC,Heredia,7549,5625,4988
VC,Heredia,11236,11700,8729
VC,Heredia,17581,15060,14112
VC,Heredia,10519,10780,7150
VC,San Jose,,,
VC,San Jose,753,1069,1358
VC,San Jose,613,439,246
VC,San Jose,75,,
VC,San Jose,,8303,5946
VC,San Jose,14883,20965,19418
VC,San Jose,118,,1567
VC,San Jose,7578,5201,4913
VC,San Jose,7921,,
VC,San Jose,2830,3124,2935
VC,San Jose,,,142
VO,Alajuela,32354,29461,19026
VO,Alajuela,78815,75648,59962
VO,Alajuela,126215,111850,98309
VO,Alajuela,26546,25693,17161
VO,Alajuela,3077,2530,2126
VO,Alajuela,97550,112209,88760
VO,Alajuela,33547,30418,29367
,,,,
VO,Alajuela,757,550,652
ZN,Alajuela,6,16,
ZN,Alajuela,252,355,21
ZN,Alajuela,,18,14
ZN,Guanacaste,2075,2440,1780
ZN,Guanacaste,1128,665,692
ZN,Guanacaste,4857,2899,2968
ZN,Guanacaste,1033,450,349
ZN,Guanacaste,3235,2911,2332
ZN,Heredia,9,16,9
ZN,Puntarenas,564,656,601
ZN,Puntarenas,,5059,1892
ZN,Puntarenas,3927,1291,4068
